"","date","station_id","latitude","longitude","area","depth","temperature","salinity","Year","cast","Source","file","is_prince5","in_germanseal","in_scotsbay"
"120",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",7.32065555,11.14614935,31.2437152,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
"121",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",23.45499602,11.06250852,31.23480957,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
"122",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",11.50376828,11.13915842,31.23742258,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
"123",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",7.619450814,11.14646116,31.23812989,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
"124",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",23.7537699,11.06271108,31.23622987,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
"125",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",19.86966931,11.09338947,31.23219079,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
"126",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",7.918247429,11.15234511,31.23020015,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
"127",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",24.05254296,11.06333732,31.23922669,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
"128",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",12.10134431,11.11043392,31.25604048,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
"129",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",8.217043929,11.15328741,31.23769141,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
"130",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",29.7292012,11.08244695,31.22354487,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
"131",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",25.84517691,11.07802555,31.23046778,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
"132",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",8.515838727,11.13280549,31.23781506,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
"133",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",20.76601105,11.08788126,31.2266451,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
"134",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",8.814631989,11.11843776,31.24039372,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
"135",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",21.06479123,11.08019833,31.22545813,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
"136",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",28.83288949,11.08919197,31.23024522,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
"137",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",21.36357077,11.07991247,31.22743353,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
"138",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",9.412216993,11.13107604,31.23537929,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
"139",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",21.66234824,11.07231467,31.23899744,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
"140",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",27.93658037,11.08647674,31.23201721,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
"141",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",26.14395051,11.07814707,31.22604298,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
"142",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",10.00980496,11.14208672,31.2304068,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
"143",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",28.53411976,11.0843843,31.23736394,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
"144",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",26.74149484,11.07417935,31.23699283,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
"145",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",27.04026532,11.0763415,31.23675139,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
"146",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",10.60739131,11.13157884,31.23493616,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
"147",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",25.24763307,11.06345916,31.23502281,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
"148",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",29.43043068,11.08136768,31.22592891,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
"149",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",27.63780829,11.08984359,31.22451657,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
"150",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",11.80255789,11.13246589,31.24767481,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
"151",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",11.20497649,11.13325546,31.231599,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
