"file","cast","date","station_id","latitude","longitude","instrumentType","depth","temperature","salinity"
"1993.nc",1520,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",53,0.810000002384186,31.7259998321533
"1993.nc",1520,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",55,0.810000002384186,31.7250003814697
"1993.nc",1520,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",57,0.810000002384186,31.7259998321533
"1993.nc",1520,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",59,0.810000002384186,31.7259998321533
"1993.nc",1520,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",61,0.800000011920929,31.7259998321533
"1993.nc",1520,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",63,0.800000011920929,31.7259998321533
"1993.nc",1520,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",65,0.779999971389771,31.7180004119873
"1993.nc",1520,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",67,0.779999971389771,31.7199993133545
"1993.nc",1520,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",69,0.779999971389771,31.7199993133545
"1993.nc",1520,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",71,0.779999971389771,31.7199993133545
"1993.nc",1520,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",73,0.779999971389771,31.7210006713867
"1993.nc",1520,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",75,0.790000021457672,31.7210006713867
"1993.nc",1520,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",77,0.769999980926514,31.7189998626709
"1993.nc",1520,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",79,0.769999980926514,31.7189998626709
"1993.nc",1520,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",81,0.779999971389771,31.7199993133545
"1993.nc",1520,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",83,0.779999971389771,31.7220001220703
"1993.nc",1520,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",85,0.779999971389771,31.7180004119873
"1993.nc",1520,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",87,0.779999971389771,31.7189998626709
"1993.nc",1520,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",89,0.769999980926514,31.7189998626709
"1993.nc",1520,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",91,0.769999980926514,31.7189998626709
"1993.nc",2480,1993-04-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",0,2.23000001907349,30.2299995422363
"1993.nc",2480,1993-04-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",1,2.22000002861023,30.2299995422363
"1993.nc",2480,1993-04-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",3,2.13000011444092,30.2700004577637
"1993.nc",2480,1993-04-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",5,2.11999988555908,30.2999992370605
"1993.nc",2480,1993-04-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",7,2.14000010490417,30.3099994659424
"1993.nc",2480,1993-04-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",9,2.09999990463257,30.3700008392334
"1993.nc",2480,1993-04-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",11,2.13000011444092,30.5300006866455
