Sequence,Location,Vessel,Type,No. Filets per kg,Size (cm),Recorded,Count,#1,#2,#3,#4,#5,#6,#7,#8,Average
1,Scotts Bay,Morning Star,Fillet,10:20,,9-24-2017 14:04,8,4.8,6.6,5,8.6,4,9.8,3.8,9.1,6.5
2,Scotts Bay,Morning Star,Fillet,10:20,,9-24-2017 14:25,8,2.5,5.6,8,5.8,2.5,5.1,3.6,2,4.4
3,Scotts Bay,Morning Star,Fillet,10:20,,9-24-2017 14:26,8,1.8,3.1,7.8,4.5,2.4,2,2.1,5.7,3.7
4,Scotts Bay,Morning Star,Fillet,10:20,,9-24-2017 14:26,8,2.3,6.4,4.2,3.9,4.1,3.3,12.2,3.2,5
5,Scotts Bay,Morning Star,Fillet,10:20,,9-24-2017 14:27,8,3.5,8.7,5.1,2.6,3.7,4.3,9.9,2.8,5.1
6,Scotts Bay,Leroy and Barry,Fillet,18:24,,9-24-2017 20:18,8,3.1,5.5,2.5,4.1,13.2,4.2,3.9,5,5.2
7,Scotts Bay,Leroy and Barry,Fillet,18:24,,9-24-2017 20:19,8,4.8,2.2,2.7,4.2,3.6,10.9,6.6,5.5,5.1
8,Scotts Bay,Leroy and Barry,Fillet,18:24,,9-24-2017 20:20,8,2.1,8.8,3.7,1.4,3.2,3.7,7.1,4.5,4.3
9,Scotts Bay,Leroy and Barry,Fillet,18:24,,9-24-2017 20:20,8,2.3,6.1,5.8,5,4.9,15.5,2.2,5.3,5.9
10,Scotts Bay,Leroy and Barry,Fillet,18:24,,9-24-2017 20:21,8,4.1,3,4.5,5.7,4.1,4.2,4.6,2.1,4
1,Scotts Bay,Leroy and Barry,Fillet,18:24,,9-25-2017 10:29,8,4.4,11.9,1.3,9.4,6,5.2,2,8.5,6.1
2,Scotts Bay,Leroy and Barry,Fillet,18:24,,9-25-2017 10:30,8,2.5,7.4,2.4,4.5,2.7,1.7,2,4.2,3.4
3,Scotts Bay,Leroy and Barry,Fillet,18:24,,9-25-2017 10:31,8,1.7,4.4,1.1,7,5.5,5.7,1.4,5.9,4.1
4,Scotts Bay,Leroy and Barry,Fillet,18:24,,9-25-2017 10:32,8,4.2,2.4,1.4,2.2,4.8,3.7,3.2,2,3
5,Scotts Bay,Leroy and Barry,Fillet,18:24,,9-25-2017 10:33,8,8.5,5.5,2.1,1.8,3.4,8.3,1.5,9.1,5
6,Scotts Bay,Morning Star,Fillet,10:20,,9-25-2017 17:41,8,4.5,1.7,4.6,4.3,4.4,4.1,2.9,3.2,3.7
7,Scotts Bay,Morning Star,Fillet,10:20,,9-25-2017 17:42,8,2.8,8.7,3.5,4.1,6.6,3,4.1,2.5,4.4
8,Scotts Bay,Morning Star,Fillet,10:20,,9-25-2017 17:43,8,4.9,4.9,2,4,2.7,4.9,2.7,4.6,3.8
9,Scotts Bay,Morning Star,Fillet,10:20,,9-25-2017 17:43,8,1.3,4.3,11.5,1.7,11.4,1.9,2.7,9.1,5.5
10,Scotts Bay,Morning Star,Fillet,10:20,,9-25-2017 17:44,8,4.4,1.2,2.2,4.7,3.5,3.5,1.6,1.9,2.9
1,Scotts Bay,Morning Star,Fillet,10:20,,9-26-2017 15:39,8,4.9,4.3,2.4,2.3,2.1,5.9,1.3,1.7,3.1
2,Scotts Bay,Morning Star,Fillet,10:20,,9-26-2017 15:40,8,2.9,1.8,4.5,4.9,5.7,2.2,4.1,5.1,3.9
3,Scotts Bay,Morning Star,Fillet,10:20,,9-26-2017 15:41,8,4,4.8,3.9,3.5,4.1,2.3,1.6,1.2,3.2
4,Scotts Bay,Morning Star,Fillet,10:20,,9-26-2017 15:42,8,1.7,3.4,4.3,3.3,2.5,2.5,2.3,2.5,2.8
5,Scotts Bay,Morning Star,Fillet,10:20,,9-26-2017 15:42,8,2.6,4.1,7.7,3.5,1.9,5.9,8.2,2.3,4.5
6,Scotts Bay,Leroy and Barry,Fillet,10:20,,9-26-2017 17:57,8,4.7,3.7,2,2.4,4.2,3,6.3,1.3,3.5
7,Scotts Bay,Leroy and Barry,Fillet,10:20,,9-26-2017 17:57,8,4.3,7.3,2.7,3.1,6.6,5.1,7.7,5.1,5.2
8,Scotts Bay,Leroy and Barry,Fillet,10:20,,9-26-2017 17:58,8,7.3,9.2,6.5,5.5,5.6,3,7.1,6.9,6.4
9,Scotts Bay,Leroy and Barry,Fillet,10:20,,9-26-2017 17:59,8,2.1,2.1,4.2,7.4,4.7,3.1,1.7,1.9,3.4
10,Scotts Bay,Leroy and Barry,Fillet,10:20,,9-26-2017 18:00,8,2.7,3.4,4,1.9,4.1,1.9,1.7,2.2,2.7
1,Scotts Bay,Leroy and Barry,Fillet,10:20,,9-27-2017 10:21,8,3.4,12,7.3,9.3,6.3,1.3,1.7,2.1,5.4
2,Scotts Bay,Leroy and Barry,Fillet,10:20,,9-27-2017 10:22,8,2.8,1.7,2.7,1.5,2.5,5.2,2.9,9.9,3.7
3,Scotts Bay,Leroy and Barry,Fillet,10:20,,9-27-2017 10:23,8,2.2,2.7,2.3,2.1,3.2,7.6,4.1,2.3,3.3
4,Scotts Bay,Leroy and Barry,Fillet,10:20,,9-27-2017 10:24,8,2.7,3,2.2,7.5,4.5,4.3,4.7,6.9,4.5
5,Scotts Bay,Leroy and Barry,Fillet,10:20,,9-27-2017 10:24,8,1.9,1.5,4.3,6.8,4.4,2.3,5.8,1.6,3.6
1,Scotts Bay,Morning Star,Fillet,10:20,,9-28-2017 6:55,8,1.8,3.1,1.4,4.2,1.8,3.9,2.1,1.7,2.5
2,Scotts Bay,Morning Star,Fillet,10:20,,9-28-2017 6:56,8,2.2,4.8,4.1,7.2,8.1,1.6,1.9,4.3,4.3
3,Scotts Bay,Morning Star,Fillet,10:20,,9-28-2017 6:57,8,4.8,4.4,2.9,4.3,4.8,1.4,13,3.3,4.9
4,Scotts Bay,Morning Star,Fillet,10:20,,9-28-2017 6:58,8,4.3,2.9,1.3,2.8,0.9,2.8,3.5,2,2.6
5,Scotts Bay,Morning Star,Fillet,10:20,,9-28-2017 6:59,8,2.9,4.6,3.7,11.7,6.7,2.6,4,2.5,4.8
1,Grand Manan,Leroy and Barry,Bait,,15.5-20.5,10-03-2017 8:52,8,23.6,6.4,4.8,3.8,3.1,4.5,6.3,8,7.6
2,Grand Manan,Leroy and Barry,Bait,,15.5-20.6,10-03-2017 8:53,8,6.3,4.1,3,3.4,3.4,8.4,8.7,4.1,5.2
3,Grand Manan,Leroy and Barry,Bait,,15.5-20.7,10-03-2017 8:54,8,7.3,4.4,2.6,9.8,6.9,6.9,5.1,2.6,5.7
4,Grand Manan,Leroy and Barry,Bait,,15.5-20.8,10-03-2017 8:55,8,8.6,4.4,2.9,8.7,9.2,7.8,12.4,1.7,7
5,Grand Manan,Leroy and Barry,Bait,,15.5-20.9,10-03-2017 8:56,8,3.4,3.2,7.6,2.3,2.4,4.2,2.8,6.6,4.1
1,Grand Manan,Morning Star,Bait,,15.5-20.5,10-03-2017 15:36,8,2.8,1.7,3.9,3,3.2,2.9,3.9,2.6,3
2,Grand Manan,Morning Star,Bait,,15.5-20.5,10-03-2017 15:37,8,29.5,7.1,1.3,1.3,3.6,1.9,6.1,2.3,6.6
3,Grand Manan,Morning Star,Bait,,15.5-20.5,10-03-2017 15:37,8,4,6.7,5.1,4.5,9.6,3.2,1.7,2.6,4.7
4,Grand Manan,Morning Star,Bait,,15.5-20.5,10-03-2017 15:38,8,21.5,0,6.2,7.6,2.2,3.2,2.9,1.8,5.7
5,Grand Manan,Morning Star,Bait,,15.5-20.5,10-03-2017 15:39,8,3.2,11.3,3.4,3.1,1.1,3.5,1.7,1.7,3.6
1,NE Bank,Leroy and Barry,Bait,,23.5-26,10-04-2017 7:20,8,1.7,4.1,7.1,6.1,4.3,5,4.4,1.7,4.3
2,NE Bank,Leroy and Barry,Bait,,23.5-26,10-04-2017 7:21,8,7,8.7,8.6,5.4,11,2.2,1.2,2.9,5.9
3,NE Bank,Leroy and Barry,Bait,,23.5-26,10-04-2017 7:22,8,2,5.3,3.9,3.7,3,3.4,5.9,16.9,5.5
4,NE Bank,Leroy and Barry,Bait,,23.5-26,10-04-2017 7:23,8,11.5,2.8,3.8,2.8,6.4,7.3,7.8,1.8,5.5
5,NE Bank,Leroy and Barry,Bait,,23.5-26,10-04-2017 7:24,8,9.3,2.1,5.7,4.9,6.2,5,6.4,4.6,5.5
6,Grand Manan,Morning Star,Bait,,21-23,10-04-2017 8:03,8,4.6,3.7,3.7,8.7,12.3,2.1,3.8,4.6,5.4
7,Grand Manan,Morning Star,Bait,,21-23,10-04-2017 8:03,8,2.4,36.1,6.6,2.4,2.9,9.3,5,2,8.3
8,Grand Manan,Morning Star,Bait,,21-23,10-04-2017 8:05,8,5.7,4,7.5,4.3,7.1,4.4,7.8,4.3,5.6
9,Grand Manan,Morning Star,Bait,,21-23,10-04-2017 8:05,8,13.6,2.6,1.9,4.5,25.9,5,6.7,5.5,8.2
10,Grand Manan,Morning Star,Bait,,21-23,10-04-2017 8:06,8,4.9,12,2.7,6.2,8.2,2.8,7.4,2.2,5.8
1,NE Bank,Leroy and Barry,Bait,,21-23,10-06-2017 7:37,8,3.5,9.2,9,4.8,6.1,5.5,6.6,23.1,8.5
2,NE Bank,Leroy and Barry,Bait,,21-23,10-06-2017 7:38,8,5.4,3.9,7.9,4.6,3.5,8.5,7.8,4.3,5.7
3,NE Bank,Leroy and Barry,Bait,,21-23,10-06-2017 7:38,8,2.3,4,4.2,5.1,4.5,2.8,2.9,5.5,3.9
4,NE Bank,Leroy and Barry,Bait,,21-23,10-06-2017 7:39,8,5.7,7.9,3,4.4,4.5,4.3,4.8,8.7,5.4
5,NE Bank,Leroy and Barry,Bait,,21-23,10-06-2017 7:40,8,2.3,2.3,2.9,8.8,24.6,7.1,4.8,3.8,7.1
1,Grand Manan,Morning Star,Bait,,15.5-20.5,10-07-2017 7:38,8,5.1,9.2,6.9,4.8,8.6,4.2,4.1,4.8,6
2,Grand Manan,Morning Star,Bait,,15.5-20.5,10-07-2017 7:39,8,1.8,3.5,10.7,4.1,4.9,3.9,5.3,1.8,4.5
3,Grand Manan,Morning Star,Bait,,15.5-20.5,10-07-2017 7:40,8,9.9,5.4,8.2,2.6,4.3,5.2,7.5,4.7,6
4,Grand Manan,Morning Star,Bait,,15.5-20.5,10-07-2017 7:41,8,5.7,1.5,3.3,2.8,1.9,7.4,3,4.5,3.8
5,Grand Manan,Morning Star,Bait,,15.5-20.5,10-07-2017 7:42,8,8.8,7.6,2.7,11.7,15.3,4.1,6.5,4.9,7.7
1,Grand Manan,Morning Star,Bait,,15.5-20.5,10-08-2017 8:01,8,1.7,6.6,4.5,4.6,5.1,3.1,3.7,2.1,3.9
2,Grand Manan,Morning Star,Bait,,15.5-20.5,10-08-2017 8:02,8,28.6,5.8,12,5.1,3.7,6.7,2.9,6.2,8.9
3,Grand Manan,Morning Star,Bait,,15.5-20.5,10-08-2017 8:03,8,5.1,6.8,3.9,4.5,5.7,6.2,2.9,3.9,4.9
4,Grand Manan,Morning Star,Bait,,15.5-20.5,10-08-2017 8:04,8,11,11.7,3.5,4.9,2.1,7.9,7.2,5.2,6.7
5,Grand Manan,Morning Star,Bait,,15.5-20.5,10-08-2017 8:05,8,3.1,3,4.2,5.1,5.2,4.1,6.5,6.1,4.7
6,NE Bank,Leroy and Barry,Bait,,15.5-20.5,10-08-2017 8:07,8,5.1,4.9,5.6,3.8,0,14.2,4.1,6.3,5.5
7,NE Bank,Leroy and Barry,Bait,,15.5-20.5,10-08-2017 8:08,8,6.3,16.2,5.5,5.9,7.8,5.7,6.3,4,7.2
8,NE Bank,Leroy and Barry,Bait,,15.5-20.5,10-08-2017 8:09,8,2.9,3.9,5.1,4.5,6.6,4.5,3.7,4.9,4.5
9,NE Bank,Leroy and Barry,Bait,,15.5-20.5,10-08-2017 8:09,8,5.1,8,3.5,4.9,6.1,4.6,9.2,6,5.9
10,NE Bank,Leroy and Barry,Bait,,15.5-20.5,10-08-2017 8:10,8,4.5,9.4,5.1,8.3,3.4,5.7,6.9,3.2,5.8
11,NE Bank,Leroy and Barry,Bait,,15.5-20.5,10-08-2017 9:42,8,5,6.3,3.3,3.2,9.2,5.9,3.9,7.9,5.6
12,NE Bank,Leroy and Barry,Bait,,15.5-20.5,10-08-2017 9:42,8,9.6,5.1,8.7,8.3,4.3,7.8,1.5,2.3,6
13,NE Bank,Leroy and Barry,Bait,,15.5-20.5,10-08-2017 9:43,8,9.1,4.6,3.8,5.9,7.7,5.6,2.9,9.5,6.1
14,NE Bank,Leroy and Barry,Bait,,15.5-20.5,10-08-2017 9:44,8,5.4,2.5,9.9,4.2,4,6.1,2.8,3.6,4.8
15,NE Bank,Leroy and Barry,Bait,,15.5-20.5,10-08-2017 9:46,8,8,2,5.6,4.6,3.3,2.8,7.8,3.1,4.7
1,NE Bank,Leroy and Barry,Bait,,21-23,10-11-2017 7:02,8,9.4,5.1,5.5,4.8,7.7,4.4,3.2,4.3,5.6
2,NE Bank,Leroy and Barry,Bait,,21-24,10-11-2017 7:03,8,2.8,2.7,5.1,7.1,4.9,6.2,5,6.7,5.1
3,NE Bank,Leroy and Barry,Bait,,21-25,10-11-2017 7:04,8,4.9,6.1,4.7,6.6,4.8,1.9,6.9,7.7,5.5
4,NE Bank,Leroy and Barry,Bait,,21-26,10-11-2017 7:04,8,4.3,3.7,8.6,8.2,4.9,2.4,5.6,7.5,5.7
5,NE Bank,Leroy and Barry,Bait,,21-27,10-11-2017 7:05,8,5.4,3.7,6.4,9.1,1.8,2.3,8.4,8.4,5.7
1,NE Bank,Leroy and Barry,Bait,,21-23,10-13-2017 6:52,8,8.8,5.3,6.9,4.6,24.3,6.3,9.4,9.3,9.4
2,NE Bank,Leroy and Barry,Bait,,21-24,10-13-2017 6:53,8,4.1,6.9,7,6.7,5.9,9.2,7.7,5,6.6
3,NE Bank,Leroy and Barry,Bait,,21-25,10-13-2017 6:55,8,8.1,8.1,7.6,3.4,3.6,5,12.6,5.4,6.7
4,NE Bank,Leroy and Barry,Bait,,21-26,10-13-2017 6:55,8,5.1,9.8,3.8,5,2.3,9.1,7.5,2.2,5.6
5,NE Bank,Leroy and Barry,Bait,,21-27,10-13-2017 6:56,8,5.8,5.4,2.7,9,6.6,5.7,3.1,11.3,6.2
6,NE Bank,Morning Star,Bait,,21-28,10-13-2017 7:16,8,5.8,4.4,7.8,1.6,3.5,4.7,7.7,2.8,4.8
7,NE Bank,Morning Star,Bait,,21-29,10-13-2017 7:17,8,3.8,4.7,12.3,4.7,4.3,5.1,2.7,8.4,5.8
8,NE Bank,Morning Star,Bait,,21-30,10-13-2017 7:19,8,7.5,2.2,12.2,4.6,3.9,2.4,4,4.4,5.2
9,NE Bank,Morning Star,Bait,,21-31,10-13-2017 7:20,8,4,9.9,6.3,3.8,5.1,7.4,2.6,8,5.9
10,NE Bank,Morning Star,Bait,,21-32,10-13-2017 7:21,8,2.5,5.9,4.7,3.9,6.4,4.4,5.4,5.2,4.8
1,NE Bank,Leroy and Barry,Bait,,21-23,10-14-2017 8:14,8,4.7,3.3,8.2,4.1,3.1,3.5,3.5,6.9,4.7
2,NE Bank,Leroy and Barry,Bait,,21-24,10-14-2017 8:15,8,9.8,8.4,4.6,2.9,5.6,5.8,7,11.2,6.9
3,NE Bank,Leroy and Barry,Bait,,21-25,10-14-2017 8:16,8,14.1,7.5,7.6,5.2,5.1,8.6,1.9,4.9,6.9
4,NE Bank,Leroy and Barry,Bait,,21-26,10-14-2017 8:17,8,8.1,9.9,9.3,4.2,9.4,5.9,4.5,5.8,7.1
5,NE Bank,Leroy and Barry,Bait,,21-27,10-14-2017 8:18,8,8.7,3,6.8,8,4.5,10.5,4.6,2.4,6.1
6,NE Bank,Morning Star,Bait,,21-28,10-14-2017 8:21,8,5.1,7.7,9.6,8.7,4.5,6,3.8,7.8,6.7
7,NE Bank,Morning Star,Bait,,21-29,10-14-2017 8:22,8,4,7.7,8.4,8.2,4.8,6.9,3.9,9.2,6.6
8,NE Bank,Morning Star,Bait,,21-30,10-14-2017 8:22,8,4.2,5.2,6.1,5.1,1.4,6.5,5.5,6.5,5.1
9,NE Bank,Morning Star,Bait,,21-31,10-14-2017 8:23,8,9.2,3.5,2.6,3,4.5,3.5,7,12.9,5.8
10,NE Bank,Morning Star,Bait,,21-32,10-14-2017 8:24,8,9.5,6.1,7.6,3.9,5.5,18.8,5.9,5.5,7.9
1,Port Mouton,Gillnet,Fillet,10:16,,10-17-2017 14:41,8,5.1,15.2,5,4.8,4.9,15.5,14.3,6.5,8.9
2,Port Mouton,Gillnet,Fillet,10:16,,10-17-2017 14:42,8,5.1,1.1,4.6,12.9,8.4,3.2,3.2,7.6,5.8
3,Port Mouton,Gillnet,Fillet,10:16,,10-17-2017 14:43,8,3.3,5.4,8.9,5.7,3.4,4.4,10.5,3.3,5.6
4,Port Mouton,Gillnet,Fillet,10:16,,10-17-2017 14:44,8,14.1,8.7,1.8,4.1,3.5,8.7,7.6,7.8,7
5,Port Mouton,Gillnet,Fillet,10:16,,10-17-2017 14:45,8,5.7,3.9,5.5,5.1,6.9,6.6,1.5,4.4,5
1,Port Mouton,Gillnet,Fillet,10:16,,10-19-2017 14:18,8,9.2,5.3,9.6,10.1,5,11.3,7.9,9,8.4
2,Port Mouton,Gillnet,Fillet,10:16,,10-19-2017 14:19,8,4.7,6.9,10,4.2,9.6,3.3,3,5.1,5.9
3,Port Mouton,Gillnet,Fillet,10:16,,10-19-2017 14:20,8,8.6,5.1,5.9,6.9,2.7,7.6,4.2,6.6,6
4,Port Mouton,Gillnet,Fillet,10:16,,10-19-2017 14:20,8,3.2,5.4,9.8,1.6,5.1,11.2,4.2,4.8,5.7
5,Port Mouton,Gillnet,Fillet,10:16,,10-19-2017 14:21,8,8.3,9.2,19.4,8.8,3.3,8,4.1,6.3,8.4
1,Port Mouton,Gillnet,Fillet,10:16,,10-21-2017 16:18,8,5.1,2.3,12,5.2,6.1,6.3,13.4,8.2,7.3
2,Port Mouton,Gillnet,Fillet,10:16,,10-21-2017 16:19,8,5.4,5.7,2.1,4,4.4,1.6,3.3,4.3,3.9
3,Port Mouton,Gillnet,Fillet,10:16,,10-21-2017 16:19,8,1.9,4.3,2,4.8,4.1,4.1,6.6,12.9,5.1
4,Port Mouton,Gillnet,Fillet,10:16,,10-21-2017 16:20,8,2.3,1.3,12.8,4.6,3.2,13.5,2.4,11.5,6.5
5,Port Mouton,Gillnet,Fillet,10:16,,10-21-2017 16:21,8,5,5.9,5.2,4.6,5.9,3.9,2,2.1,4.3
1,Port Mouton,Gillnet,Fillet,10:16,,10-23-2017 14:24,8,9.2,5.3,5.2,4.5,5.4,12.2,6.7,5.9,6.8
2,Port Mouton,Gillnet,Fillet,10:16,,10-23-2017 14:25,8,13,6.1,5.9,6.2,4.8,1.6,8,7.5,6.6
3,Port Mouton,Gillnet,Fillet,10:16,,10-23-2017 14:28,8,3.1,7.1,16,4.3,4.9,7.3,4.6,6.7,6.8
4,Port Mouton,Gillnet,Fillet,10:16,,10-23-2017 14:28,8,4.5,5.8,3.9,8.9,2.2,4.9,2.7,9.4,5.3
5,Port Mouton,Gillnet,Fillet,10:16,,10-23-2017 14:29,8,9.8,7.8,9.9,10.4,8.7,10.3,13.4,7.9,9.8
1,Port Mouton,Gillnet,Fillet,10:20,,10-24-2017 12:47,8,8.8,3,4.4,4.1,3.1,12.2,1.7,5.5,5.4
2,Port Mouton,Gillnet,Fillet,10:20,,10-24-2017 12:48,8,9.9,10.7,5.4,3.9,4.6,3.3,7.4,2.6,6
3,Port Mouton,Gillnet,Fillet,10:20,,10-24-2017 12:49,8,5.8,5,9,6,4,7.9,12.4,7.3,7.2
4,Port Mouton,Gillnet,Fillet,10:20,,10-24-2017 12:49,8,6.3,7.6,6.5,1.8,1.8,4.9,6.3,5.9,5.1
5,Port Mouton,Gillnet,Fillet,10:20,,10-24-2017 12:50,8,6.1,8.8,9.5,4.6,4.8,3,1.9,14.2,6.6
1,Port Mouton,Gillnet,Fillet,10:20,,10-25-2017 14:09,8,11.1,7.7,3.3,3,5.5,4.6,4.8,7.6,6
2,Port Mouton,Gillnet,Fillet,10:20,,10-25-2017 14:10,8,6.8,3.6,2.7,3.4,1.2,2.2,4.5,3.6,3.5
3,Port Mouton,Gillnet,Fillet,10:20,,10-25-2017 14:11,8,11.4,11.8,11.4,5.5,4.9,9.1,2.9,3.6,7.6
4,Port Mouton,Gillnet,Fillet,10:20,,10-25-2017 14:12,8,4.8,4,5.6,4.1,4.8,5.8,1.5,5.6,4.5
5,Port Mouton,Gillnet,Fillet,10:20,,10-25-2017 14:14,8,4.7,1.2,4.6,7.2,5.4,4.8,2,3.3,4.2
1,Port Mouton,Gillnet,Bait,,23.5-25.5,10-28-2017 15:06,8,15.1,2.9,4.1,4.1,8.3,3.5,7,9.8,6.9
2,Port Mouton,Gillnet,Bait,,23.5-25.5,10-28-2017 15:07,8,4.6,6.1,1.9,5.1,4.9,7.1,5.2,4.6,4.9
3,Port Mouton,Gillnet,Bait,,23.5-25.5,10-28-2017 15:07,8,5.4,3.7,3.3,3.2,2.1,11.4,3.6,2.8,4.4
4,Port Mouton,Gillnet,Bait,,23.5-25.5,10-28-2017 15:08,8,4.7,9.3,3.9,4,3.7,5.7,17.5,6.4,6.9
5,Port Mouton,Gillnet,Bait,,23.5-25.5,10-28-2017 15:09,8,17.4,4.4,3.8,4,9.4,19.2,2.3,3.2,8
1,Port Mouton,Gillnet,Fillet,10:20,,10-30-2017 11:18,8,5,7,4.8,6.9,5.1,6.1,6.6,11.1,6.6
2,Port Mouton,Gillnet,Fillet,10:20,,10-30-2017 11:19,8,3.7,5.1,9.6,17.7,7.8,7.8,3.8,5.5,7.6
3,Port Mouton,Gillnet,Fillet,10:20,,10-30-2017 11:20,8,4.2,4.2,1.2,6.1,4.5,6.1,1.9,7.6,4.5
4,Port Mouton,Gillnet,Fillet,10:20,,10-30-2017 11:23,8,4.8,4.9,4.2,6.1,1.7,4.3,2.8,5.7,4.3
5,Port Mouton,Gillnet,Fillet,10:20,,10-30-2017 11:25,8,8.3,4,7.6,3.9,7.4,5.6,6.8,11,6.8
1,Port Mouton,Gillnet,Fillet,10:20,,11-01-2017 14:35,8,4.4,3.9,2.9,5,2.6,4.9,5.1,4.5,4.2
2,Port Mouton,Gillnet,Fillet,10:20,,11-01-2017 14:35,8,4,5.6,9.6,4.7,6.6,6,5.5,5.6,6
3,Port Mouton,Gillnet,Fillet,10:20,,11-01-2017 14:36,8,3.1,7.3,6.9,5.2,2.7,2,3.7,6.6,4.7
4,Port Mouton,Gillnet,Fillet,10:20,,11-01-2017 14:37,8,3.2,10,1.6,2.8,4.7,7.6,10.8,4.6,5.7
5,Port Mouton,Gillnet,Fillet,10:20,,11-01-2017 14:38,8,4.9,7.4,4.3,5.5,4.7,3,5.2,4.5,4.9
1,Port Mouton,Gillnet,Fillet,10:20,,11-02-2017 14:50,8,4,9.2,6.6,5.5,5.4,5.7,8.7,1.4,5.8
2,Port Mouton,Gillnet,Fillet,10:20,,11-02-2017 14:51,8,6.6,2.5,7.4,17,7,7.3,10.5,2.7,7.6
3,Port Mouton,Gillnet,Fillet,10:20,,11-02-2017 14:52,8,4.1,4.7,5.2,8.5,4.2,5.5,4.8,6.6,5.5
4,Port Mouton,Gillnet,Fillet,10:20,,11-02-2017 14:53,8,5.7,6.1,4.1,1.8,3.7,1.6,3.1,4.8,3.9
5,Port Mouton,Gillnet,Fillet,10:20,,11-02-2017 14:54,8,4.6,2.1,6.1,4.9,4.7,4.5,2.7,5.1,4.3
1,Port Mouton,Gillnet,Fillet,10:20,,11-03-2017 12:46,8,5.9,7.5,12.8,3.4,6.8,5.3,4.8,3.1,6.2
2,Port Mouton,Gillnet,Fillet,10:20,,11-03-2017 12:48,8,6.1,3.2,4.4,4.3,6.5,1.9,1.5,2.6,3.8
3,Port Mouton,Gillnet,Fillet,10:20,,11-03-2017 12:48,8,1.7,2,4.7,6.7,2.7,5.9,5,9.7,4.8
4,Port Mouton,Gillnet,Fillet,10:20,,11-03-2017 12:49,8,11.7,9.1,1.5,5.4,4.8,2.7,7.4,8.7,6.4
5,Port Mouton,Gillnet,Fillet,10:20,,11-03-2017 12:50,8,2.9,6.6,5.9,7.3,6.1,4.6,1.1,6.1,5.1
1,Port Mouton,Gillnet,Bait,,23.5-25.5,11-14-2017 11:23,8,8.4,7.8,10.3,4.6,5.6,1.3,5.1,5.6,6.1
2,Port Mouton,Gillnet,Bait,,23.5-25.5,11-14-2017 11:24,8,3.2,4.8,4.2,5.2,11.9,2.9,5.7,2.1,5
3,Port Mouton,Gillnet,Bait,,23.5-25.5,11-14-2017 11:25,8,6.6,6.9,4.5,2.5,1.7,1.6,3.9,4.6,4
4,Port Mouton,Gillnet,Bait,,23.5-25.5,11-14-2017 11:26,8,8.1,15.6,2.2,2.8,3.5,13.6,2.8,2.5,6.4
5,Port Mouton,Gillnet,Bait,,23.5-25.5,11-14-2017 11:27,8,2.7,1.7,4.4,9.2,1.5,8.7,2.4,5.1,4.5
1,Patch ,Morning Star ,Fresh Sale ,,26,5-16-2018 9:06,8,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.8,9.9
2,Patch ,Morning Star ,Fresh Sale ,,26,5-16-2018 10:05,8,2.8,1.2,2.1,3.4,1.8,4.3,3.1,3.9,2.8
3,Patch ,Morning Star ,Fresh Sale ,,26,5-16-2018 10:05,8,6.2,2.9,2.4,3,6.1,2.7,6.7,2.7,4.1
4,Patch ,Morning Star ,Fresh Sale ,,26,5-16-2018 10:06,8,4.1,5.4,5.9,2,2.8,3.3,3.6,3.7,3.9
5,Patch ,Morning Star ,Fresh Sale ,,26,5-16-2018 10:06,8,1.8,5.9,4.5,2.1,5.1,1.2,1.5,4,3.3
6,Patch ,Morning Star ,Fresh Sale ,,26,5-16-2018 10:07,8,1.3,8.6,4,2.1,2.8,1.5,2.2,4,3.3
7,Patch ,Morning Star ,Fresh Sale ,,26,5-16-2018 10:08,8,2.1,4.7,5.5,4.1,4.1,3.3,4.3,3.6,4
1,Patch ,Morning Star ,Fresh Sale ,,27,5-24-2018 10:30,8,11.5,11.4,11.4,11.4,11.4,11.4,11.4,11.5,11.4
2,Patch ,Morning Star ,Fresh Sale ,,27,5-24-2018 10:33,8,4.7,13.8,11.6,7.3,9.6,4.9,4.1,1.8,7.2
3,Patch ,Morning Star ,Fresh Sale ,,27,5-24-2018 10:33,8,4.9,1.6,10.8,13.8,7.3,11.6,5.9,4.3,7.5
4,Patch ,Morning Star ,Fresh Sale ,,27,5-24-2018 10:34,8,12.8,6.1,4.4,3.4,13.7,1.7,6.9,12.4,7.7
5,Patch ,Morning Star ,Fresh Sale ,,27,5-24-2018 10:35,8,4.6,8.3,6.3,11.8,13.2,4.4,12.6,13.2,9.3
6,Patch ,Morning Star ,Fresh Sale ,,27,5-24-2018 10:35,8,4,14.1,8.6,2,4.1,9.2,4.6,14.5,7.6
7,Patch ,Morning Star ,Fresh Sale ,,27,5-24-2018 10:36,8,2.3,10.6,4.6,12.4,4.4,9.5,11.9,10.4,8.3
1,Patch ,Morning Star ,Fillet,10.20,,5-28-2018 17:09,8,11.1,18.3,9.5,8,10.4,8.4,14.2,5.9,10.7
2,Patch ,Morning Star ,Fillet,10.20,,5-28-2018 17:10,8,6.6,6.4,5.4,8.4,7.1,5.8,8.3,10.4,7.3
3,Patch ,Morning Star ,Fillet,10.20,,5-28-2018 17:11,8,7.9,5,7.1,8.5,11.6,4.5,10.5,6.9,7.8
4,Patch ,Morning Star ,Fillet,10.20,,5-28-2018 17:12,8,5.2,11.2,11,9.2,5.3,5.9,13.7,11.7,9.2
